pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1587,641312,Shaun Anderson,1587,100.0,0.291,0.170,0.327,0.461,0.349,0.354,0.298,111,382,86.8,10.5,2424,89.7,89.60,159,766,813,-0.1,6.08,109,153,113,148,301,328,302
1582,663567,Peter Lambert,1582,100.0,0.321,0.251,0.338,0.571,0.400,0.359,0.299,119,371,88.9,6.5,2092,88.5,87.97,119,707,860,-0.5,5.63,113,151,114,148,310,333,307
1579,543557,Mike Montgomery,1579,100.0,0.315,0.220,0.348,0.535,0.387,0.384,0.316,113,359,89.7,6.3,1990,86.6,86.60,154,708,862,0.0,6.20,110,151,116,145,301,325,300
1570,570240,Felix Pena,1570,100.0,0.219,0.183,0.256,0.402,0.301,0.327,0.254,80,366,88.7,13.0,2206,87.1,86.40,208,704,857,-0.7,5.84,112,152,114,148,293,317,291
1552,656288,Griffin Canning,1552,100.0,0.235,0.196,0.281,0.431,0.316,0.299,0.221,80,341,87.0,16.1,2314,89.9,88.76,227,702,841,-1.1,5.56,114,150,113,149,294,316,291
1548,643327,Zack Godley,1548,100.0,0.271,0.198,0.301,0.469,0.351,0.358,0.278,96,354,89.0,11.1,2146,85.9,84.38,174,712,828,-1.5,5.32,112,154,117,151,301,326,301
1541,521655,Wilmer Font,1541,100.0,0.242,0.245,0.288,0.488,0.334,0.304,0.226,78,322,89.0,17.3,2283,88.6,89.11,207,749,788,0.5,6.58,112,154,113,148,303,322,298
1512,664199,Taylor Clarke,1512,100.0,0.263,0.287,0.261,0.550,0.366,0.354,0.264,86,327,88.9,15.8,2205,89.3,88.89,168,729,774,-0.4,5.96,113,156,119,152,300,328,301
1510,502748,Brad Peacock,1510,100.0,0.227,0.201,0.267,0.427,0.309,0.302,0.224,78,344,89.9,14.2,2374,87.6,86.55,141,650,855,-1.0,5.72,110,152,117,150,287,315,297
1501,461829,Gio Gonzalez,1501,100.0,0.234,0.163,0.282,0.397,0.307,0.324,0.254,76,325,86.3,8.9,2099,84.7,84.21,172,660,837,-0.5,5.92,108,154,111,149,304,319,294
1498,642545,Jaime Barria,1498,100.0,0.275,0.296,0.287,0.572,0.375,0.353,0.270,92,334,89.3,18.2,2117,86.6,85.96,147,662,831,-0.6,5.73,113,155,116,148,294,322,292
1487,502706,Derek Holland,1487,100.0,0.258,0.239,0.284,0.497,0.361,0.347,0.238,82,318,89.3,12.7,2310,88.0,87.25,182,675,806,-0.8,5.84,109,149,114,146,298,323,293
1486,660761,Jose Suarez,1486,100.0,0.304,0.261,0.326,0.565,0.398,0.356,0.274,100,329,87.8,16.0,2154,85.3,84.63,172,677,792,-0.7,5.74,111,149,114,147,296,316,287
1485,593423,Frankie Montas,1485,100.0,0.230,0.134,0.297,0.364,0.279,0.276,0.233,84,365,86.8,9.7,2273,92.7,91.29,189,729,750,-1.4,5.43,110,147,119,151,295,321,296
1467,592879,Asher Wojciechowski,1467,100.0,0.248,0.235,0.279,0.483,0.344,0.341,0.247,80,323,87.6,21.4,2296,87.6,88.13,186,713,743,0.5,6.52,106,153,116,147,297,327,299
1445,548389,Ross Stripling,1445,100.0,0.244,0.169,0.299,0.413,0.297,0.278,0.232,84,344,88.4,10.2,2293,85.6,84.91,162,661,780,-0.7,5.72,112,157,120,145,293,317,296
1442,622694,Elieser Hernandez,1442,100.0,0.242,0.261,0.267,0.503,0.345,0.290,0.209,76,314,85.9,20.5,2203,85.6,85.04,176,697,730,-0.6,5.91,109,156,117,149,304,325,296
1430,605276,David Hess,1430,100.0,0.287,0.321,0.282,0.609,0.396,0.397,0.304,94,327,91.5,17.4,2139,89.0,87.79,136,699,725,-1.2,5.54,107,152,116,147,304,329,299
1427,543208,Sam Gaviglio,1427,100.0,0.235,0.199,0.259,0.434,0.304,0.306,0.239,85,362,88.1,10.1,2031,86.1,86.12,179,639,778,0.0,6.34,110,154,121,149,306,327,300
1392,448855,Junior Guerra,1392,100.0,0.194,0.157,0.221,0.351,0.278,0.300,0.222,58,299,85.6,13.0,2207,90.5,90.43,170,648,737,-0.1,6.17,109,155,114,149,301,318,295
1387,668678,Zac Gallen,1387,100.0,0.212,0.143,0.284,0.355,0.290,0.293,0.215,62,293,87.0,13.7,2227,88.1,88.09,188,638,741,0.0,6.23,109,153,117,150,303,322,297
1386,572140,Tyler Skaggs,1386,100.0,0.242,0.139,0.295,0.381,0.300,0.326,0.267,73,302,88.1,15.5,2254,84.6,84.17,138,640,742,-0.4,6.08,110,150,114,147,297,317,289
1377,657141,Jordan Yamamoto,1377,100.0,0.191,0.163,0.225,0.355,0.284,0.309,0.230,54,282,89.9,17.2,2418,86.0,85.46,140,614,753,-0.5,5.91,109,155,116,149,303,326,293
1372,570632,Jose Urena,1372,100.0,0.293,0.180,0.325,0.473,0.346,0.339,0.283,99,338,90.1,8.4,2151,92.5,91.91,141,663,696,-0.6,5.95,106,154,118,147,299,326,301
1364,656302,Dylan Cease,1364,100.0,0.271,0.215,0.326,0.486,0.357,0.323,0.245,78,288,87.9,12.1,2441,89.7,88.91,158,605,756,-0.8,5.70,110,150,114,148,293,323,295
1363,608717,Chris Stratton,1363,100.0,0.300,0.206,0.349,0.506,0.370,0.333,0.273,93,310,88.3,11.7,2636,87.9,88.13,158,651,709,0.2,6.26,110,150,119,147,301,323,297
1354,521230,Liam Hendriks,1354,100.0,0.201,0.109,0.315,0.309,0.240,0.229,0.185,61,304,88.9,20.3,2309,93.8,94.09,250,694,655,0.3,6.42,111,148,120,150,300,325,301
1352,570666,Luis Cessa,1352,100.0,0.246,0.187,0.277,0.433,0.320,0.295,0.229,75,305,88.3,10.6,2343,89.0,87.67,186,634,711,-1.3,5.37,107,152,117,148,295,324,290
1344,628711,Julio Urias,1344,100.0,0.201,0.123,0.257,0.324,0.265,0.267,0.209,59,293,83.2,17.8,2425,90.1,89.04,205,686,649,-1.1,5.49,112,156,116,146,296,318,293
1335,547179,Michael Lorenzen,1335,100.0,0.221,0.134,0.274,0.355,0.280,0.277,0.225,68,307,84.5,10.5,2459,92.3,91.12,201,649,681,-1.2,5.55,115,154,117,147,294,315,289
1333,621097,Jacob Waguespack,1333,100.0,0.249,0.189,0.279,0.439,0.329,0.346,0.271,75,301,89.1,14.8,1987,88.2,88.47,142,651,676,0.3,6.34,111,155,118,151,308,331,300
1325,622065,Alex Young,1325,100.0,0.229,0.184,0.252,0.413,0.302,0.316,0.251,72,315,87.0,9.4,2193,85.7,84.65,172,628,687,-1.0,5.58,111,153,114,150,300,323,296
